id,model,pair,kendall,spearman_p,pearson,pearson_p
0,canine-c,en-cs,0.325093, 0.0,0.469221,0.0
0,canine-s,en-cs,0.311902,0.0,0.453542,0.0
0,mbert,en-cs,0.382389,0.0,0.539393,0.0
0,xlmr,en-cs,0.417045,0.0,0.59335,0.0
0,canine-c,en-de,0.247508,0.0,0.385005,0.0
0,canine-s,en-de,0.240356,0.0,0.368294,0.0
0,mbert,en-de,0.290715,0.0,0.449997,0.0
0,xlmr,en-de,0.315161,0.0,0.49153,0.0
0,canine-c,en-fi,0.395905,0.0,0.556157,0.0
0,canine-s,en-fi,0.394643,0.0,0.546674,0.0
0,mbert,en-fi,0.459399,0.0,0.628632,0.0
0,xlmr,en-fi,0.505738,0.0,0.68316,0.0
0,canine-c,en-gu,0.355071,0.0,0.500733,0.0
0,canine-s,en-gu,0.327745,0.0,0.455513,0.0
0,mbert,en-gu,0.421824,0.0,0.580219,0.0
0,xlmr,en-gu,0.447298,0.0,0.62173,0.0
0,canine-c,en-kk,0.373937,0.0,0.548683,0.0
0,canine-s,en-kk,0.37421,0.0,0.541043,0.0
0,mbert,en-kk,0.425294,0.0,0.610109,0.0
0,xlmr,en-kk,0.449073,0.0,0.63197,0.0
0,canine-c,en-lt,0.332983,0.0,0.483971,0.0
0,canine-s,en-lt,0.340912,0.0,0.487026,0.0
0,mbert,en-lt,0.423088,0.0,0.590679,0.0
0,xlmr,en-lt,0.486224,0.0,0.67006,0.0
0,canine-c,en-ru,0.382726,0.0,0.59034,0.0
0,canine-s,en-ru,0.372207,0.0,0.594225,0.0
0,mbert,en-ru,0.423705,0.0,0.607392,0.0
0,xlmr,en-ru,0.438342,0.0,0.57402,0.0
0,canine-c,en-zh,0.245938,0.0,0.36666,0.0
0,canine-s,en-zh,0.247956,0.0,0.36985,0.0
0,mbert,en-zh,0.312615,0.0,0.471906,0.0
0,xlmr,en-zh,0.33679,0.0,0.499718,0.0
0,canine-c,de-en,0.257968,0.0,0.35185,0.0
0,canine-s,de-en,0.260454,0.0,0.354017,0.0
0,mbert,de-en,0.286743,0.0,0.384366,0.0
0,xlmr,de-en,0.299035,0.0,0.40234,0.0
0,canine-c,fi-en,0.255297,0.0,0.361088,0.0
0,canine-s,fi-en,0.258497,0.0,0.367763,0.0
0,mbert,fi-en,0.285829,0.0,0.397251,0.0
0,xlmr,fi-en,0.293783,0.0,0.40979,0.0
0,canine-c,gu-en,0.232983,0.338411,1.207508e-241,0.0
0,canine-s,gu-en,0.23719,4.834407e-254,0.349479,1.195380e-258
0,mbert,gu-en,0.255579,2.270538e-295,0.374919,2.010004e-300
0,xlmr,gu-en,0.267047,0.0,0.394242,0.0
0,canine-c,kk-en,0.300371,0.0,0.438386,6.491798e-317
0,canine-s,kk-en,0.31165,0.0,0.453571,0.0
0,mbert,kk-en,0.342897,0.0,0.488906,0.0
0,xlmr,kk-en,0.346804,0.0,0.496541,0.0
0,canine-c,lt-en,0.283539,0.0,0.449651,0.0
0,canine-s,lt-en,0.283685,0.0,0.447239,0.0
0,mbert,lt-en,0.326179,0.0,0.484142,0.0
0,xlmr,lt-en,0.325778,0.0,0.475728,0.0
0,canine-c,ru-en,0.22721,0.0,0.325829,0.0
0,canine-s,ru-en,0.228734,0.0,0.33168,0.0
0,mbert,ru-en,0.247971,0.0,0.343247,0.0
0,xlmr,ru-en,0.250505,0.0,0.343179,0.0
